"WC","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
14,14,14.29,57.14,35.71,14.29,0,0,0,0,0,0,0,0,14.29,0,28.57,0,0,28.57,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,28.57,7.14,14.29,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,40,55,20,5,0,0,0,0,0,0,0,0,5,5,15,0,0,15,25,0,5,0,5,5,5,0,0,0,0,5,0,0,0,0,20,10,5,0,0,5,5,5,5,0,0,5,0,5,0,0,0,0,0,0,0,0,5,15,0,5,0,0,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,66.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,32.14,53.57,39.29,14.29,3.57,0,3.57,0,0,0,7.14,10.71,3.57,0,10.71,0,3.57,14.29,3.57,0,0,3.57,0,0,0,0,0,0,0,3.57,0,0,0,0,7.14,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0,10.71,3.57,3.57,3.57,0,0,3.57,10.71,3.57,10.71,3.57,0,7.14,7.14,0,3.57,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,50,50,30,10,0,0,0,0,0,0,10,20,0,0,0,0,0,10,10,10,0,0,20,0,0,0,0,0,0,10,0,0,0,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,14.29,66.67,28.57,14.29,4.76,0,0,4.76,0,0,4.76,4.76,4.76,0,14.29,4.76,0,19.05,4.76,0,0,0,0,9.52,4.76,4.76,4.76,4.76,0,19.05,0,0,0,0,14.29,4.76,0,0,4.76,9.52,0,9.52,4.76,4.76,0,0,0,0,0,0,9.52,4.76,0,0,4.76,0,0,14.29,0,9.52,0,9.52,4.76,0,4.76,0,4.76,0,0,14.29,0,9.52,4.76,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0
21,21,42.86,76.19,38.1,14.29,14.29,0,14.29,0,0,0,0,0,14.29,0,4.76,4.76,0,23.81,4.76,4.76,0,0,9.52,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,4.76,9.52,0,0,14.29,14.29,0,0,0,0,4.76,19.05,0,19.05,14.29,9.52,0,9.52,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,55.56,27.78,16.67,0,0,0,0,0,0,0,0,5.56,0,11.11,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,5.56,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,22.22,5.56,5.56,5.56,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,71.43,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,57.69,42.31,15.38,3.85,0,0,0,0,0,0,0,0,11.54,0,15.38,0,0,23.08,3.85,0,0,0,0,3.85,0,3.85,0,0,0,0,0,0,0,0,11.54,11.54,0,0,0,0,0,0,0,0,0,3.85,0,0,0,3.85,7.69,0,3.85,3.85,0,3.85,15.38,15.38,3.85,7.69,3.85,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,3.85,0,0
